"provincia","anio","vab"
"CABA",2012,124949.919864713
"CABA",2013,125041.896576724
"CABA",2014,122464.180371866
"CABA",2015,124247.152353416
"CABA",2016,123199.881431681
"CABA",2017,125973.652127237
"CABA",2018,124075.627185066
"CABA",2019,118237.390234741
"CABA",2020,103834.724852345
"CABA",2021,113402.664487132
"CABA",2022,119077.261827467
"CABA",2023,119523.878126157
"Buenos Aires",2012,192649.041014262
"Buenos Aires",2013,196324.7610253
"Buenos Aires",2014,189466.135568554
"Buenos Aires",2015,195435.292080852
"Buenos Aires",2016,191324.344063332
"Buenos Aires",2017,196195.454568289
"Buenos Aires",2018,189876.093874819
"Buenos Aires",2019,185100.148711974
"Buenos Aires",2020,167866.007137254
"Buenos Aires",2021,186661.141590374
"Buenos Aires",2022,196714.602621076
"Buenos Aires",2023,193076.175307221
"Catamarca",2012,4321.49661673035
"Catamarca",2013,4132.67676993783
"Catamarca",2014,4257.0024757713
"Catamarca",2015,3848.44705309304
"Catamarca",2016,3850.06627989793
"Catamarca",2017,3789.79185080617
"Catamarca",2018,3615.68862679621
"Catamarca",2019,3268.24477819118
"Catamarca",2020,2943.72342927649
"Catamarca",2021,3427.65144627654
"Catamarca",2022,3815.29756316022
"Catamarca",2023,4091.15760294144
"Córdoba",2012,47356.02811276
"Córdoba",2013,50887.6161754348
"Córdoba",2014,50214.0526566945
"Córdoba",2015,52202.432457888
"Córdoba",2016,51381.0205359716
"Córdoba",2017,52454.1294680056
"Córdoba",2018,49000.6022866344
"Córdoba",2019,50159.2985120283
"Córdoba",2020,44623.4127940297
"Córdoba",2021,50042.1770207231
"Córdoba",2022,51617.3115650265
"Córdoba",2023,47892.307092713
"Corrientes",2012,7156.20167053853
"Corrientes",2013,7340.99906134296
"Corrientes",2014,7367.16699123154
"Corrientes",2015,7568.68709550765
"Corrientes",2016,7413.74326713122
"Corrientes",2017,7769.9566131324
"Corrientes",2018,7861.25618146088
"Corrientes",2019,7578.93887185587
"Corrientes",2020,6917.27288950529
"Corrientes",2021,7557.4076042754
"Corrientes",2022,7705.76533413829
"Corrientes",2023,7868.32683778226
"Chaco",2012,8518.86285232749
"Chaco",2013,8938.59575920881
"Chaco",2014,9649.59064183784
"Chaco",2015,9540.61071713507
"Chaco",2016,9426.65296565329
"Chaco",2017,9798.35838968307
"Chaco",2018,9672.0486318204
"Chaco",2019,9147.1865540476
"Chaco",2020,8556.29712327476
"Chaco",2021,9150.91982392121
"Chaco",2022,9866.36124300167
"Chaco",2023,9606.25193352297
"Chubut",2012,11497.3694595876
"Chubut",2013,11855.4400903305
"Chubut",2014,12167.0408291452
"Chubut",2015,12269.6281686607
"Chubut",2016,11798.8091362702
"Chubut",2017,12125.9371020349
"Chubut",2018,12073.8191508252
"Chubut",2019,12216.790158134
"Chubut",2020,10964.9307119669
"Chubut",2021,11392.2836134338
"Chubut",2022,11544.8654300825
"Chubut",2023,11292.6455430281
"Entre Ríos",2012,15577.6713283839
"Entre Ríos",2013,16092.8208817134
"Entre Ríos",2014,15862.1201603139
"Entre Ríos",2015,16422.062249013
"Entre Ríos",2016,15653.6933002638
"Entre Ríos",2017,16435.7880329262
"Entre Ríos",2018,15785.9949729399
"Entre Ríos",2019,16031.4560994599
"Entre Ríos",2020,14945.6222846183
"Entre Ríos",2021,15947.9481345514
"Entre Ríos",2022,16840.8175008364
"Entre Ríos",2023,16133.8605375337
"Formosa",2012,3371.47899924292
"Formosa",2013,3455.85719550987
"Formosa",2014,3413.80014620903
"Formosa",2015,3616.80672509852
"Formosa",2016,3602.64240463069
"Formosa",2017,3694.74798771731
"Formosa",2018,3675.23797419787
"Formosa",2019,3463.43943792705
"Formosa",2020,3211.2396642174
"Formosa",2021,3594.98703818395
"Formosa",2022,3880.46032464314
"Formosa",2023,3796.36073858053
"Jujuy",2012,5440.9687308354
"Jujuy",2013,5461.99011154874
"Jujuy",2014,5507.38170821904
"Jujuy",2015,5765.10691458774
"Jujuy",2016,5554.71009861516
"Jujuy",2017,5722.2589919504
"Jujuy",2018,5656.35622071058
"Jujuy",2019,5731.21069295233
"Jujuy",2020,5324.04597217719
"Jujuy",2021,5996.41132614568
"Jujuy",2022,6600.85235812076
"Jujuy",2023,6832.04884224432
"La Pampa",2012,5900.32282654167
"La Pampa",2013,5955.27362084684
"La Pampa",2014,5675.19045417717
"La Pampa",2015,5982.80442524246
"La Pampa",2016,6190.16840026825
"La Pampa",2017,6008.98602480775
"La Pampa",2018,5907.97462076357
"La Pampa",2019,6048.17603203623
"La Pampa",2020,5434.24529158516
"La Pampa",2021,5867.06870090724
"La Pampa",2022,6427.55032533397
"La Pampa",2023,6122.83651294851
"La Rioja",2012,3331.50858712459
"La Rioja",2013,3487.61566582744
"La Rioja",2014,3364.37643561597
"La Rioja",2015,3439.16633549214
"La Rioja",2016,3389.21484864784
"La Rioja",2017,3499.09437890105
"La Rioja",2018,3374.54258341544
"La Rioja",2019,3290.8072906423
"La Rioja",2020,2906.70028253193
"La Rioja",2021,3212.7015155389
"La Rioja",2022,3474.28499819246
"La Rioja",2023,3455.50286022456
"Mendoza",2012,21433.7371422222
"Mendoza",2013,21570.8042404084
"Mendoza",2014,21024.7307456591
"Mendoza",2015,21772.8835679468
"Mendoza",2016,20724.6786329786
"Mendoza",2017,20972.7750384665
"Mendoza",2018,20971.269957329
"Mendoza",2019,20673.8984332759
